pid	cnname	enname
202	???	NINO FERLETTI	
205	哥伦比亚	Columbia	
204	北面	The North Face	
207	阿迪达斯洗护	adidas	
206	斐乐	Fila	
209	乔山按摩椅\跑步机	???	
208	尤尼克斯	YONEX	
779	3时	???	
778	九月	???	
889	???	Golden Point	
77	圣宝度伦	Senbodulun	
76	童装	???	
75	???	adidas kids	
74	水孩儿	souhait	
73	安奈儿	Annil	
72	安踏儿童	???	
71	派克兰帝	PacLantic	
70	???	Displayname	
79		NUK	
78	美斯特伦	mastela	
2	???	COSTA COFFEE	
1042	碧然德	BRITA	
1041	凯伍德	kenwood	
1040	康宁餐具	CORELLE	
1047	利奥尼达斯	Leonidas	
1043	飞利浦	Philips	
1045	三叉牌	???	
1044	京钟	???	
1049	施丹兰	STENDERS	
1048	???	Kiehl's	
805	???	FRAAS	
804	???	LTAM Mark	
669	Snoopy餐厅	???	
668	仙踪林	???	
667	小木棉	???	
666	益和木	???	
665	快乐玛丽	J&M	
664	娇鼎	JDING	
663	玩具反斗城	???	
662	探奇乐园	???	
661	佩吉	PageOne	
660	美吉姆	???	
769	???	Catalog	
692	马博士婴儿游泳馆	???	
693	小鬼当佳	???	
690	疯狂钢琴	???	
691	迪士尼英语	???	
696	CK内衣	???	
697	西遇	WESTLINK	
694	???	little GYM	
695	???	Naivee	
698	太平鸟男装	???	
699	贝拉维拉	???	
542	???	eve ave	
543	舒宠	sheepet	
540	拿渡麻辣香锅	???	
541	私家小厨	???	
546	???	oversea	
547	香朝	???	
544	???	veromoda	
545	诚和和田玉	???	
8		FESTINA	
548	i转角	???	
549	云海肴	???	
1019	???	Menticano	
995	???	Master Su	
869	雅诗兰黛	ESTEE LAUDER	
997		Armani Jeans	
996	???	Weisi	
991		dansko	
990	图卡	???	
993	???	Teenie Weenie	
868	倩碧	Clinique	
999	???	READ MA	
998	???	G-STAR RAW	
120	???	LOREAL	
121	鑫豪福	???	
122	所神根	???	
123	福人德	???	
124	和田玉	???	
125	???	L'appat	
126	豪雅珠宝	???	
127	百利金	pelikan	
128	皮尔卡丹	Pierre Cardin	
129	观奇洋服	???	
765	???	midii	
1016	???	MOISSAL.PARIAS	
1010	???	ZAA DAA	
1022	法纳贝儿	Fanapal	
1011	???	Deco	
414	Apple专卖	???	
415	列维士	???	
416	???	Phiten	
417	卡骆驰	Crocs	
410	卡莎灡	Kasanrin	
411	派克	Parker	
412	???	JACK&JONES	
413	南益	Lee	
920	杰伟世	JVC	
498	骏朗眼镜	???	
922	???	Kuhn rikon	
923	孩之宝	Hasbro	
418	凯乐石	KAILAS	
419	???	blackyak	
776	思莱德	Selected	
499	汤臣倍健	by-health	
319	虎牌	Tiger	
318	象印	zo jirushi	
313	米技	MIJI	
312	???	KANOJAO	
311	???	SCFASHION	
310		Sinequanone	
317	米兰菲丽	???	
316	宜龙艺术陶瓷	???	
315	内野	Uchino	
314	喜力特	???	
861	热浪	Heatwave	
921	贝纳通	Benetton	
139	???	peek.a.boo	
832	新百伦	New balance	
833	爱康	icon	
830	???	BABYROOM	
138	乐高	LEGO	
836	???	DRAGON STAR	
837	???	KOLON SPORT	
834	精品烟酒	???	
835	奥菲欧	???	
838	???	FJALL RAVEN	
839	乐飞叶	Lafuma	
808	陶仨坊	???	
1082	蒙迪爱尔	MONDIAL ATELIER	
3	万宝龙	Montblanc	
725	和合谷	???	
368		STELLA LUNA	
369	真美诗	Joy&Peace	
366	斯琴	???	
367	维格娜丝	V.grass	
364	???	LARWINER	
365	闲云	???	
362	诗篇	PSALTER	
363	佩蒂帕恩	???	
360	???	Fidelite	
361	???	BLLYN	
959	???	Jiggie Studio	
952	???	Top Gloria	
882		ELLE HOMME	
380	???	SANTA BARBARA	
381	天伯伦	Timberland	
382	鳄鱼	Lacoste	
383	诺帝卡童装	NAUTICA	
384	骆驼动感	CAMEL ACTIVE	
385	普顿	???	
386	洪恩	hongen	
387	贝登堡首创馆	???	
388	???	KENZO KIDS	
389	???	ELAND KIDS	
784	植村秀	Shu-uemura	
785	海蓝之谜	La Mer	
786	???	Van Lathem	
787	???	V.E.DELURE	
780	亨得利	handry	
781	玫珂菲	Make Up For Ever	
782	娇韵诗	CLARINS	
783	???	HELENA RUBINSTEIN	
788	???	C31 ROTC	
789	马亚诺	???	
860	彪马	Puma	
151	芬狄诗		
579	三元梅园	???	
578	兰瑜珈	???	
150	欧时力	OCHIRLY	
573	胡椒厨房	???	
572	巴厘泰	???	
571	五彩冰酷运动中心	???	
570	太平洋咖啡	???	
577	美丽田园	???	
576	金鼎轩	???	
575	落院	???	
574	眉州东坡酒楼	???	
60	FANCL无添加	???	
61	娇韵诗	CLARINS	
258	伊丽莎白雅顿	Elizabeth Arden	
259	天梭	Tissot	
64	???	Dior	
65		SK-II	
66	宝格丽	BVLGARI	
67	资生堂	Shiseido	
68	阿玛尼	Giorgio Armani	
69	莫施	Moschner	
250	银辉		
251	???	TOMICA	
256	范思哲	Versace	
257	???	DV Sebagh	
254	森贝儿家族		
255	???	TOMBOLINI	
157	茶叶	???	
156		ONLY	
939		ATM	
731	鲜果时间	???	
730	宝岛眼镜	???	
733	水色盛开美容美发	???	
732	老车记	???	
735	安伟明苑造型	???	
734	鼎级摄影	???	
508	尊贵视力	???	
509	???	Bread Talk	
506	华为	HUAWEI	
507	肯德基	???	
504	羊绒世家	???	
505	屈臣氏	Watsons	
502	中旅体育旅行社	???	
503	将太无二	???	
500	洪晟翔	???	
501	佳之优品	???	
630	英卓锐	???	
631	店名	???	
632	美克美家	???	
633	长天户外	???	
469	松下	Panasonic	
468	电视	???	
636	天才宝贝	Giftedbaby	
637	基本生活	emoi	
465	思琳	CELINE	
464	嘎帝尔	???	
467	???	WOLSEY	
466	卡尔丹顿	KALTENDIN	
461	???	E.ORILKS	
460	???	NEUBERLTN	
463	瓦尔德龙	???	
462	尼诺里拉	NINORIVA	
901	???	i Blues	
168	???	Mihana	
169	???	Latin Mark	
164	优色林	eucerin	
165	雅漾	avène	
166	郦妮	???	
167	舒朗	SHOW LONG	
160	同仁堂		
161	薇姿	VICHY	
162	特百惠	Tupperware	
163	当代药房	???	
964		ZUCCHI	
965	???	MINE	
966		NEO	
967	???	H2O+	
960	歌力思	ELLASSAY	
961	???	name	
962	???	ESTEEM	
963	???	SHERIPAN	
968	戴梦得	???	
969	周大生	ChowTaiSeng	
936	和玉缘		
935	紫云珠宝	???	
934	???	GARDEUR	
908	???	CHLOSIO	
909	???	ELIE SAAB	
1096	???	T-OPPAPEORETTI	
1090	薇欧薇	VOV	
1091	喜洋洋与灰太狼童装	???	
878	???	S.D.SPONTINI	
879	???	KEVIN KELLY	
876	???	Wolsey	
877	汤米·希尔费格	Tommy Hilfiger	
874	诺帝卡	NAUTICA	
875	比音勒芬	Biem.lfdlkk	
872	???	First Wert	
873	博斯绅威箱包	BossSunwen	
870	飞亚达	FIYTA	
871	罗西尼	ROSSINI	
9	卡西欧	CASIO	
890	???	SETFANEL	
891	???	Kanojao	
892		Brooks Brothers	
893	唐纳.卡兰	DKNY	
894	奥淇唯艺	???	
647	习朗	CLself	
896	百丽	BELLE	
897	???	ORIGINALS	
898	???	Hogl	
899	???	CHARLIE's ANGELS	
1087	???	AESTHEXIX	
646	江南布衣	JNBY	
649	曼谷银	???	
648	播	Broadcast	
1086	安瑞井	ORIGIN	
357	???	POWER LAND	
356	邓禄普皮具箱包	DUNLOP	
355	圣伽步	Skap	
354	策乐	Cele	
353	嘉里奥	Gillivo	
352		eee	
351	健安喜	GNC	
350	迪莱克丝	Dilaks	
803	格格		
802	粉红玛琍	???	
801	卡秀	cushow	
800		landi	
807	厚木	ATSUGI	
806	???	ALA	
359	天意	???	
358	凯撒	kaiser	
216	名士	???	
217	浪琴	LONGINES	
214	伊丽莎白雅顿	ELIZABETH ARDEN	
215	纪梵希	GIVENCHY	
212	耐克童装	Nike	
213	匡威	CONVERSE	
210		LOWA	
211	美津浓	Mizuno	
762	益乐康养生会馆	???	
763	新源茗茶	???	
760	阿米雪	???	
761	???	salon Rex	
766	麦当劳	???	
767	???	CPU	
218	???	TAGHEUER	
219	雷达	RADO	
957	???	Lime Flare	
956	伊蒂雅	???	
1033	???	Kid Blue	
1078	他她	Tata	
1079	???	TATUAGGI	
1076	曼妮芬	maniform	
1077	???	Wonder	
1074	哥伦比亚 Columbia	???	
1075	舞魅	Vme	
1072	???	ALEX BRUNI	
1073	???	Ozark Gear	
1070	颂拓	SUUNTO	
1071	米瓦法迪	???	
289	木真了		
288	邢氏		
1003	???	callise	
4	兰姿	LANCEL	
281	???	24HRS	
280	鄂尔多斯	ERDOS	
283	???	HISPANITAS	
282	百丽	Belle	
285	???	PATRICIA	
284	雅氏	achette	
287	其乐	Clarks	
286	???	MEPHISTO	
1094	内野	UCHINO	
1095	红双喜	DHS	
1083	???	ZUCZUG	
1097	双立人	ZWILLING	
678	爱慕kids	???	
679	小骆驼	???	
1092	???	Disney Princess	
1093	味千拉面		
674	孩儿帮	???	
675	母婴室	???	
676	红袖	hopeshow	
677	名媛印象	???	
670	???	KAMINEY	
671	春天河谷	???	
672	黄记煌	???	
673	疯狂4D影酷	???	
263	科诺修思	KROCEUS	
262		NICI	
261	威途	VERTU	
260	豪度	???	
267	渔	FISHING	
266	埃斯普利特	ESPRIT	
265	欧时力	Ochirly	
264	快乐狐狸	Actionfox	
1031	莫瑞拉托	MORELLATO	
269	狼爪	Jack Wolfskin	
268		AIGLE	
701	莫莉幻想	???	
59	???	SAINTPAULON	
58	???	PERSEPHONE	
55	???	JONIKAS	
54	芭比波朗	Bobbi Brown	
57	卡尔蒂尼		
56	仕东利	???	
51	???	GORNIA	
50		ESPRIT HOME	
53	雅戈尔	Youngor	
52	恺王		
537	丝域美发	???	
536	麻辣诱惑		
535	吉祥馄饨	???	
63	兰蔻	LANCOME	
533	巴拉巴拉	Balabala	
532	???	POLO	
531	呷哺呷哺	???	
530	瑞士十字	swisswin	
152	棉花共和国	COTTON REPUBLIC	
539	陈记火锅	???	
538	胧月轩	???	
987	???	MARK.BOSE	
775	钱库	???	
988	果园老农	Orchardpeasant	
989	???	Patrica	
774	潮汕渔家大排档	???	
982	派克	PARKER	
983	伯爵博朗	???	
980	天王表	TIAN WANG	
981	芝宝	Zippo	
986	???	PIDEBO	
777	阿吉豆	???	
984	特雷菲斯	TREYFUS	
985	???	discovery	
115	嘉媚乐	CAMENAE	
252	迪士尼	Disney	
117	希思黎	Sisley	
116	???	THETSAIO	
111	阿芙香薰	???	
110	悍威	Hanwag	
113	???	PRCX	
112	???	C.B	
771	食其家	???	
119	佰草集	HERBORIST	
118	高丝	KOSE	
770	BHG精品超市	???	
773	哈姆天空	???	
772	陕味食族	???	
953	美宝莲	Maybelline	
429	办公区	???	
428	???	Calisse	
534	外婆家	GRANNIES	
919	万斯	VANS	
918	克洛伊	chloe	
421	???	Gennie’s	
420	丽婴房	Les enphants	
423	???	Hallmark Babies	
422	???	O.C.T.mami	
425	智高	chicco	
424	英氏	yeehoo	
427	婴方喜	Infancee	
426	好孩子	goodbaby	
308	恒昌珠宝	???	
309	???	LIME FLARE	
855	凯瑞拉	Crcara	
300	???	MOJO.S PHINE	
301	???	IMMOBILE	
302	???	CAGLIARI EXCHANGE	
303	???	M.TSUBOMI	
304	吉芬	JEFEN	
305	???	KOREANO	
306	米茜尔	???	
307	例外	???	
895	玫而美	???	
825	???	CATIMINI	
181	艾瑞美	???	
824	福腾宝	WMF	
827	???	KP	
847	???	Bean Pole	
846	???	St. Dragon	
845	乐播诗	Lesportsac	
826	???	BEEN KID'S	
843	玖熙	NINE WEST	
842	依波表	???	
841	森卡诺	???	
840	???	POSEMER	
821	新秀丽	Samsonite	
853	???	EXCEPTION	
849	莱尔斯丹	le saunda	
820	普拉达	PRADA	
823	鹿王	KINGDEER	
822	新快	???	
954	???	Organic touch	
1034	???	Embry Form	
240	捷尼凯诗	???	
1068	???	CAROKAI	
1038	戴森	Dyson	
1039	???	Luminaec	
1046	三菱	mitsubishielectric	
568	便宜坊		
569	麻里麻里香锅	???	
751	悦指间	???	
750	抓宝格子店	???	
757	许留山	???	
737	九月天	???	
755	???	Feretti	
754	娜韵SPA	???	
560	???	Mo & Co	
561	???	map by BeLLE	
562	???	Folli Follie	
563	盖尔斯	GUESS	
564	???	Anne Karen	
565	???	Spring field	
566	黛若	DAZZLE	
567	柏斯琴行	???	
739		CheviGnon	
229	梦妮尔丹	???	
228	谢瑞麟	TSL	
227	瑞恩		
226	卓雅	Jorya	
225	金象珠宝		
224	???	Foeei Foeele	
223	???	Jean-Louis Scherrer	
222	???	Gieves & Hawkes	
221	雅阁诗丹	???	
220	巴达萨里	???	
1001	骆驼儿童	CAMKIDS	
1024	斯沃琪	SWATCH	
1027	蕾朵	LIEDOW	
1026	???	FILON VIRO	
1021	贺曼	Hallmark	
1020	芭比	baviphat	
1023	???	Hape	
114	秀雅韩	Sooryehan	
1036	卡娜娃	???	
1029	塞斯克瑞	???	
88	祺海轩涮功坊	???	
1037	???	POWERLAND	
726	正一味	???	
727	川江一号香锅	???	
724	卡萨纯银	???	
390	爱慕儿童	AIMER KIDS	
722	???	YIGUE	
723	阿拉浓	???	
720	辣味道	???	
721	川百汇	???	
1035	???	T.B2 LADY	
728	海洋兄弟	???	
729	温莎	VINSOR	
605	拉夏贝尔	La Chapelle	
604	天然故事	???	
607	???	page one	
606		honeys	
601	???	rooKie	
600	丽家宝贝	???	
603	???	meejoy	
602	???	SKINFOOD	
159	食品	???	
158	???	MILAN GOLD	
394	???	ELLE Kids	
609	璟益智天地	???	
608	卡雷拉	carrera	
976	沙驰	Satchi	
634	匡威	converse	
399	爱国者	aigo	
635	普安药房	???	
749	恒永奢饰品护理中心	???	
