ID	name	cnname	enname	type
549	云海肴	云海肴	???	餐饮	
1019	Menticano	???	Menticano	服装	
995	Master Su	???	Master Su	服装	
869	ESTEE LAUDER	???	ESTEE LAUDER	个护化妆	
997	Armani Jeans	???	Armani Jeans	服装	
996	Weisi	???	Weisi	服装	
991	dansko	???	dansko	服装	
990	图卡	图卡	???	服装	
993	Teenie Weenie	???	Teenie Weenie	服装	
868	Clinique	???	Clinique	个护化妆	
999	READ MA	???	READ MA	服装	
998	G-STAR RAW	???	G-STAR RAW	服装	
120	LOREAL	???	LOREAL	个护化妆	
121	鑫豪福	鑫豪福	???	其他	
122	所神根	所神根	???	其他	
123	福人德	福人德	???	其他	
124	和田玉	和田玉	???	其他	
125	L'appat	???	L'appat	服装	
126	豪雅珠宝	豪雅珠宝	???	其他	
127	百利金	百利金	???	其他	
128	Pierre Cardin	???	Pierre Cardin	服装	
129	观奇洋服	观奇洋服	???	服装	
765	midii	???	midii	服装	
1016	MOISSAL.PARIAS	???	MOISSAL.PARIAS	服装	
1010	ZAA DAA	???	ZAA DAA	服装	
1022	法纳贝儿	法纳贝儿	???	服装	
1011	Deco	???	Deco	服装	
414	Apple专卖	Apple专卖	???	电器	
415	列维士	列维士	???	其他	
416	Phiten	???	Phiten	服装	
417	Crocs	???	Crocs	服装	
410	Kasanrin	???	Kasanrin	个护化妆	
411	Parker	???	Parker	其他	
412	JACK&JONES	???	JACK&JONES	服装	
413	Lee	???	Lee	服装	
920	JVC	???	JVC	电器	
498	骏朗眼镜	骏朗眼镜	???	其他	
922	Kuhn rikon	???	Kuhn rikon	其他	
923	孩之宝	孩之宝	???	服装	
418	KAILAS	???	KAILAS	体育	
419	blackyak	???	blackyak	体育	
776	Selected	???	Selected	服装	
499	汤臣倍健	汤臣倍健	???	餐饮	
319	Tiger	???	Tiger	其他	
318	象印	象印	???	儿童母婴	
313	米技	米技	???	其他	
312	KANOJAO	???	KANOJAO	服装	
311	SCFASHION	???	SCFASHION	服装	
310	Sinequanone	???	Sinequanone	服装	
317	米兰菲丽	米兰菲丽	???	个护化妆	
316	宜龙艺术陶瓷	宜龙艺术陶瓷	???	其他	
315	内野	内野	???	儿童母婴	
314	喜力特	喜力特	???	其他	
861	热浪	热浪	???	体育	
921	贝纳通	贝纳通	???	服装	
139	peek.a.boo	???	peek.a.boo	儿童母婴	
832	New balance	???	New balance	服装	
833	爱康	爱康	???	体育	
830	BABYROOM	???	BABYROOM	儿童母婴	
138	LEGO	???	LEGO	儿童母婴	
