PID,Displayname,Tag1,Tag2,Phone,Story
1010012800020047,Dior,个护化妆,个人护理,,迪奥（Dior），由法国时装设计师克里斯汀·迪奥（Christian Dior）于1946年创于巴黎，是世界著名的时尚消费品牌。主要经营女装、男装、首饰、香水、化妆品等高档消费品。亦为全球的高级时尚品牌控股公司——LVMH路易威登集团的子公司。
1010012800020048,娇韵诗,个护化妆,个人护理,,娇韵诗公司成立于1954年，是法国美容界的著名品牌。它的崛起不同于那些由流行服饰起家的化妆品牌，也有别于一般由脸部护肤开始发展的保养品，当大多数品牌将身体保养品列为较晚发展的项目时，娇韵诗却已经以非常完整的身体保养系列为自己在市场上找到明确的定位，并奠定了品牌基础。在娇韵诗的经营理念中，产品的开发设计一直以顾客的需求为主。娇韵诗已开发出细致肌肤护理、特造曲线护理、调和曲线护理、舒爽护理、特殊身体护理、香醒露系列以及美胸护理等，总共30余种不同的保养品系列，带动美体保健新潮。娇韵诗很早便从与消费者的沟通中，了解到女性会因工作时间及家庭压力的增加而缩短护肤时间，因此不用按摩的瘦身产品将大为风行，于是，娇韵诗率先推出纤体精华露方便忙碌的女性。
1010012800020049,FANCL无添加,个护化妆,个人护理,,
1010012800020050,AUPRES,个护化妆,个人护理,,是舶来品和民族品牌的有效融合。1994年1月诞生于中国。具有“伴你左右”含义的欧珀莱产品，秉承资生堂“高品质、高服务、高形象”的企业文化理念，引进日本资生堂的先进技术和科学的经营管理方法，旨在缔造一流的、具高知名度、高品质的“AUPRES欧珀莱”美容品。欧珀莱商标中英文的注册地均是中国，品牌的使用权则属于中日合资企业——资生堂丽源化妆品有限公司。
1010012800020051,Kasanrin,个护化妆,个人护理,,
1010012800020052,CHANEL,个护化妆,个人护理,,创始人Gabrielle Chanel香奈儿于1913年在法国巴黎创立香奈儿品牌。香奈儿的产品种类繁多，有服装、珠宝饰品及其配件、化妆品、护肤品、香水，每一种产品都闻名遐迩，特别是她的香水与时装。 香奈儿（CHANEL）是一个有着整整百年历史的著名品牌，香奈儿时装永远有着高雅、简洁、精美的风格，它善于突破传统，早20世纪40年代就成功地将“五花大绑”的女装推向简单、舒适，这也许就是最早的现代休闲服。
1010012800020053,JurLique,个护化妆,个人护理,,JURLIQUE是08年新包装的最新中文命名。原名茱丽（中国大陆注册名）、茱丽寇儿（中国台湾、香港、新加坡等地区命名）、茱莉蔻儿、茱莉
1010012800020054,JurLique,个护化妆,个人护理,,JURLIQUE是08年新包装的最新中文命名。原名茱丽（中国大陆注册名）、茱丽寇儿（中国台湾、香港、新加坡等地区命名）、茱莉蔻儿、茱莉
1010012800020055,Parker,其他,学习用品,,Parker 中文名称派克（派克汉尼汾的简称）Parker Hannifin，是全球领先的运动和控制技术与系统多元化制造商，为广泛的传动控制、工业和航空市场提供精准解决方案，现已成为世界上最大的专业生产和销售各种制冷空调件、液压、气动和流体控制产品及元器件的全球性的公司。 Parker PEN派克钢笔是顶端钢笔的代名词，派克钢笔经营哲学：“使产品更臻完善，人们才会购买”一直指导着派克致力于制造“更好的笔”，这亦是历经百年沉积在派克笔中的深厚的文化内涵。
1010012800020056,s.t.dupont,服装,女装,,【S.T.Dupont】法国名牌s.t.dupont都彭被香港迪生集团收购。早在1930年，法国都彭精品已成为世界各地显赫人士钟爱的用品，包括欧洲各国的王室贵族、工商巨子等都对都彭的产品爱不释手。在1947年，都彭更特别为英女皇伊利莎白及爱丁堡公爵之婚礼制造一套旅行手提袋。业务遍布全球。随着市场的发展，S.T.Dupont逐渐扩大其豪华产品系列，相继推出男士服装及配饰、皮具、打火机、书写工具、男鞋、腕表、雪茄配件、眼镜、香水等。
1010012800020057,GIVENCHY,服装,女装,,Givenchy，来自法国的时装品牌，纪梵希最初以香水为其主要产品，后开始涉足护肤及彩妆事业。该企业品牌在世界品牌实验室（World Brand Lab）编制的2006年度《世界品牌500强》排行榜中名列第四百一十一
1010012800020058,BOSS HUGO BOSS,服装,男装,,BOSS Hugo Boss是一条专供男女不同需要的fashion line，所以这条line的风格比较稳重成熟，剪裁传统一点，对一些不太爱花巧的男女们是最适合不过。虽然BOSS Hugo Boss有男装和女装，但继承了德国传统硬朗男性形象，其服装线条也硬一点，且讲求对称。布料方面，也少用高级时装中常见的丝质或chiffon等轻逸布料，以免破坏BOSS Hugo Boss的笔挺衫身。
