141031	隰县	xx	36.6876	110.931	-5000
141032	永和县	yhx	36.7615	110.633	-5000
141033	蒲县	px	36.4158	111.097	-5000
141034	汾西县	fxx	36.6505	111.563	-5000
141081	侯马市	hms	35.6089	111.338	-5000
141082	霍州市	hzs	36.5638	111.728	-5000
141100	吕梁市		37.512000	111.135000	-5000
141102	离石区	lsq			-10000
141121	文水县	wsx	37.437	112.024	-5000
141122	交城县	jcx	37.5444	112.156	-5000
141123	兴县	xx	38.4727	111.124	-5000
141124	临县	lx	37.9529	110.983	-5000
141125	柳林县	llx	37.4355	110.881	-5000
141126	石楼县	slx	36.9957	110.827	-5000
141127	岚县	lx	38.2827	111.679	-5000
141128	方山县	fsx	37.8826	111.232	-5000
141129	中阳县	zyx	37.3396	111.188	-5000
141130	交口县	jkx	36.9597	111.2	-5000
141181	孝义市	xys	37.1432	111.783	-10000
141182	汾阳市	fys	37.2634	111.779	-5000
150000	内蒙古自治区	nmgzzq			-10000
150100	呼和浩特市	hhhts	40.8209	111.663	-5000
150102	新城区	xcq			-10000
150103	回民区	hmq			-10000
150104	玉泉区	yqq			-10000
150105	赛罕区	shq			-10000
150121	土默特左旗	tmtzq	40.7082	111.125	-5000
150122	托克托县	tktx	40.2712	111.155	-5000
150123	和林格尔县	hlgex	40.3724	111.822	-5000
150124	清水河县	qshx	39.9134	111.675	-5000
150125	武川县	wcx	41.0954	111.443	-5000
150200	包头市	bts	40.6664	109.852	-5000
150202	东河区	dhq	40.582	110.023	-10000
150203	昆都仑区	kdlq			-10000
150204	青山区	qsq			-10000
150205	石拐区	sgq	40.672	110.27	-10000
150206	白云矿区	bykq	41.766	109.967	-10000
150207	九原区	jyq	40.598	109.961	-10000
150221	土默特右旗	tmtyq	40.548	110.513	-5000
150222	固阳县	gyx	41.0279	110.053	-5000
150223	达尔罕茂明安联合旗	dehmmalhq	41.6948	110.429	-5000
150300	乌海市	whs	39.6742	106.815	-5000
150302	海勃湾区	hbwq			-10000
150303	海南区	hnq	39.436	106.876	-10000
150304	乌达区	wdq	39.496	106.707	-10000
150400	赤峰市	cfs	42.268	118.95	-5000
150402	红山区	hsq			-10000
150403	元宝山区	ybsq	42.034	119.277	-10000
150404	松山区	ssq			-10000
